                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4009,                 6.9556,                  2.622,                0.25091,                 0.5841,                0.24449,                0.19648,                 1.5648,                 10.251,                 2.1943,             0.00011875,             0.00011875,             0.00011875
                      2,                 1.7409,                 3.1668,                 2.0871,                0.57683,                0.62152,                 0.6219,                0.50552,                 1.5628,                  3.856,                 2.1827,             0.00024134,             0.00024134,             0.00024134
                      3,                 1.6862,                 2.0736,                 2.0555,                0.59545,                0.77312,                 0.7399,                0.60624,                 1.4515,                  2.858,                 2.1023,             0.00036145,             0.00036145,             0.00036145
                      4,                 1.6323,                 1.6665,                 2.0664,                0.80148,                0.86828,                0.91032,                0.77062,                 1.2976,                 1.2212,                 2.0173,             0.00047909,             0.00047909,             0.00047909
                      5,                 1.5994,                 1.5016,                 2.0638,                0.74435,                0.82546,                0.85274,                0.71326,                 1.4087,                 1.4556,                 2.1493,             0.00059425,             0.00059425,             0.00059425
                      6,                  1.573,                 1.3826,                  2.058,                 0.8464,                0.88868,                 0.9345,                0.79276,                 1.3209,                0.94702,                 2.0828,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.4847,                  1.162,                 2.0443,                0.86494,                0.88666,                 0.9566,                0.79407,                 1.4329,                0.85225,                 2.1693,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.4938,                 1.1221,                 2.0628,                0.92744,                0.93514,                0.96653,                0.82987,                 1.2225,                0.67179,                  2.038,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.5087,                 1.1092,                 2.1075,                0.96191,                0.92758,                0.98009,                0.82054,                 1.4031,                0.66205,                 2.2399,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.4432,                 1.0005,                 2.0649,                0.89936,                0.86614,                0.96599,                0.79625,                 1.4541,                0.97206,                 2.2354,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.4285,                0.95662,                 2.0511,                0.95391,                 0.9435,                0.98524,                0.84341,                 1.2493,                0.62038,                 2.1075,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.4371,                0.97058,                 2.0526,                0.95671,                0.95418,                0.99138,                 0.8586,                 1.2216,                0.56877,                 2.0434,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.4096,                0.89603,                 2.0306,                0.96102,                0.93581,                0.98635,                0.86755,                 1.1266,                0.60177,                 1.9936,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.3741,                0.90158,                 2.0055,                0.93723,                0.96036,                 0.9851,                0.85821,                 1.2042,                0.55572,                 2.0159,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.3698,                0.87729,                 2.0361,                0.97076,                0.96319,                0.98654,                0.85219,                 1.2367,                 0.5556,                 2.0667,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.3259,                0.83645,                 1.9935,                0.93773,                0.96623,                0.98553,                 0.8599,                 1.2058,                0.55188,                 2.0436,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.3417,                0.80627,                 1.9893,                0.96984,                0.98411,                0.99277,                 0.8685,                 1.1425,                 0.5032,                 2.0212,               0.000526,               0.000526,               0.000526
                     18,                 1.2915,                0.77404,                 1.9887,                0.97296,                0.98348,                0.99363,                0.87936,                 1.1298,                 0.4665,                   2.02,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.2965,                0.75874,                 1.9936,                0.97584,                0.97795,                0.99293,                0.83756,                 1.4012,                0.54843,                 2.2069,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.3008,                0.76792,                 1.9788,                0.96886,                0.97053,                0.99351,                0.86881,                 1.1653,                0.50807,                 2.0223,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.2548,                0.76831,                 1.9477,                0.95227,                0.98207,                0.99208,                0.85836,                 1.1732,                0.55912,                 2.0282,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.2428,                0.76192,                 1.9468,                0.97996,                0.96083,                0.99174,                0.87815,                 1.1165,                0.49152,                 1.9853,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.2274,                0.73417,                 1.9446,                0.97914,                0.96278,                0.99181,                0.87656,                  1.112,                0.48199,                  1.989,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.2259,                 0.7221,                 1.9204,                0.97435,                0.98294,                0.99389,                0.88463,                 1.0384,                0.45818,                 1.9372,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.2233,                  0.744,                 1.9405,                0.95717,                 0.9761,                0.99056,                0.88541,                 1.0513,                0.47909,                 1.9445,              0.0004765,              0.0004765,              0.0004765
                     26,                 1.1929,                0.68475,                 1.9006,                0.98521,                0.98411,                0.99449,                0.87073,                  1.191,                0.44948,                  2.045,             0.00047031,             0.00047031,             0.00047031
                     27,                 1.1891,                 0.6767,                 1.8933,                0.99015,                0.95681,                 0.9939,                0.86902,                 1.2063,                0.48353,                 2.0562,             0.00046413,             0.00046413,             0.00046413
                     28,                 1.1705,                 0.6751,                 1.9251,                0.98623,                0.98826,                0.99479,                0.89139,                 1.0721,                 0.4249,                 1.9485,             0.00045794,             0.00045794,             0.00045794
                     29,                 1.1557,                0.66803,                 1.9202,                0.98569,                0.99187,                0.99485,                0.89486,                 1.0174,                0.40863,                  1.911,             0.00045175,             0.00045175,             0.00045175
                     30,                 1.1514,                0.66553,                 1.8847,                0.98201,                0.98496,                0.99406,                 0.8775,                 1.1288,                0.42592,                 1.9903,             0.00044556,             0.00044556,             0.00044556
                     31,                 1.1461,                0.64896,                 1.8956,                0.98223,                0.99732,                  0.995,                0.88629,                 1.0664,                 0.4033,                  1.949,             0.00043937,             0.00043937,             0.00043937
                     32,                 1.1235,                0.66364,                 1.9095,                0.99038,                0.96908,                0.99173,                0.88894,                 1.0454,                0.43542,                 1.9253,             0.00043319,             0.00043319,             0.00043319
                     33,                 1.1062,                0.62971,                 1.8818,                0.98253,                0.99274,                0.99471,                0.88842,                 1.0568,                0.41863,                  1.927,               0.000427,               0.000427,               0.000427
                     34,                 1.0852,                0.62284,                 1.8592,                0.99239,                0.98689,                  0.995,                0.87138,                 1.1618,                 0.4246,                 1.9937,             0.00042081,             0.00042081,             0.00042081
                     35,                  1.076,                0.61734,                 1.8597,                0.99198,                0.97682,                0.99431,                0.89972,                0.98013,                0.39011,                 1.8834,             0.00041462,             0.00041462,             0.00041462
                     36,                 1.0785,                 0.6284,                 1.8677,                0.99413,                0.97498,                0.99492,                0.89017,                 1.0438,                0.41532,                  1.935,             0.00040844,             0.00040844,             0.00040844
                     37,                 1.0522,                0.61426,                 1.8456,                0.98954,                0.99648,                 0.9948,                0.88965,                 1.0342,                 0.3845,                 1.9212,             0.00040225,             0.00040225,             0.00040225
                     38,                 1.0483,                0.61025,                 1.8591,                0.98155,                0.98593,                0.99472,                0.90084,                0.98539,                0.39567,                 1.8907,             0.00039606,             0.00039606,             0.00039606
                     39,                 1.0278,                0.56914,                 1.8213,                0.97832,                0.98801,                  0.995,                0.89044,                 1.0148,                 0.4345,                 1.9198,             0.00038988,             0.00038988,             0.00038988
                     40,                 1.0201,                0.56019,                 1.8222,                0.98674,                0.98775,                  0.995,                0.87961,                 1.0852,                0.41523,                 1.9522,             0.00038369,             0.00038369,             0.00038369
                     41,                 1.0012,                0.55629,                  1.831,                0.98706,                0.98741,                0.99244,                0.89635,                0.98658,                0.38943,                 1.8949,              0.0003775,              0.0003775,              0.0003775
                     42,                 1.0007,                0.56914,                 1.8292,                0.99327,                0.97409,                0.99402,                0.90459,                 0.9703,                0.38245,                 1.8658,             0.00037131,             0.00037131,             0.00037131
                     43,                0.94071,                0.53313,                 1.8193,                0.98594,                0.98674,                0.99453,                0.89749,                 1.0025,                0.38048,                 1.8957,             0.00036513,             0.00036513,             0.00036513
                     44,                0.97077,                0.54421,                 1.8225,                0.99054,                0.99888,                  0.995,                0.90499,                0.97994,                0.36216,                 1.8751,             0.00035894,             0.00035894,             0.00035894
                     45,                0.95041,                0.54388,                 1.8076,                0.99088,                0.99408,                0.99491,                0.91557,                0.90853,                0.34821,                 1.8477,             0.00035275,             0.00035275,             0.00035275
                     46,                0.95438,                0.53702,                 1.8119,                0.99036,                0.99758,                  0.995,                0.89369,                 1.0091,                0.39207,                 1.9072,             0.00034656,             0.00034656,             0.00034656
                     47,                0.95375,                0.54476,                 1.8007,                0.99118,                0.98315,                  0.995,                0.89903,                 0.9951,                0.39605,                 1.8943,             0.00034038,             0.00034038,             0.00034038
                     48,                0.92326,                0.53377,                 1.8023,                0.99073,                0.99192,                0.99492,                0.90775,                0.94712,                0.35176,                 1.8725,             0.00033419,             0.00033419,             0.00033419
                     49,                0.91127,                0.52855,                 1.8052,                 0.9827,                0.99663,                  0.995,                0.90685,                 0.9572,                0.36023,                 1.8714,               0.000328,               0.000328,               0.000328
                     50,                0.92371,                0.52895,                 1.7966,                0.99239,                0.98577,                  0.995,                0.90828,                 0.9386,                0.36123,                 1.8681,             0.00032181,             0.00032181,             0.00032181
                     51,                 0.9068,                0.51675,                 1.7854,                 0.9906,                0.99139,                  0.995,                0.91387,                0.89485,                0.33937,                 1.8412,             0.00031562,             0.00031562,             0.00031562
                     52,                0.90665,                0.52256,                 1.7936,                0.99507,                0.98301,                0.99421,                0.91657,                 0.8907,                0.36025,                 1.8215,             0.00030944,             0.00030944,             0.00030944
                     53,                0.88104,                0.50886,                 1.7867,                0.99412,                0.98552,                  0.995,                0.91184,                0.93113,                0.35017,                  1.853,             0.00030325,             0.00030325,             0.00030325
                     54,                0.88752,                0.50337,                 1.7778,                0.99103,                0.99165,                  0.995,                0.91786,                0.89652,                0.34599,                 1.8318,             0.00029706,             0.00029706,             0.00029706
                     55,                0.88779,                0.51736,                  1.779,                0.99379,                0.99053,                  0.995,                0.90629,                0.93584,                0.35273,                 1.8569,             0.00029088,             0.00029088,             0.00029088
                     56,                0.85609,                  0.477,                 1.7888,                0.98498,                0.99062,                0.99477,                0.91319,                0.93305,                0.34824,                 1.8554,             0.00028469,             0.00028469,             0.00028469
                     57,                0.84759,                0.49231,                 1.7549,                0.99039,                0.98395,                0.99437,                0.92097,                0.84591,                0.32912,                 1.8046,              0.0002785,              0.0002785,              0.0002785
                     58,                0.84255,                0.49239,                 1.7631,                0.99274,                0.99177,                0.99492,                0.92628,                0.82814,                0.32869,                 1.8035,             0.00027231,             0.00027231,             0.00027231
                     59,                0.83535,                0.47617,                 1.7696,                0.98735,                0.99557,                0.99492,                0.91731,                0.88028,                0.34344,                 1.8215,             0.00026613,             0.00026613,             0.00026613
                     60,                0.83042,                0.46889,                 1.7476,                0.99375,                0.99488,                  0.995,                0.91736,                0.86184,                0.32281,                  1.831,             0.00025994,             0.00025994,             0.00025994
                     61,                0.81115,                0.46584,                 1.7607,                0.98575,                0.98355,                0.99462,                0.92336,                0.84079,                0.34416,                 1.8088,             0.00025375,             0.00025375,             0.00025375
                     62,                0.81444,                0.46473,                 1.7519,                0.98831,                0.98934,                0.99461,                 0.9224,                0.86872,                 0.3381,                 1.8307,             0.00024756,             0.00024756,             0.00024756
                     63,                0.79402,                0.45517,                 1.7436,                0.98407,                0.98606,                0.99483,                0.92038,                 0.8604,                0.33791,                 1.8252,             0.00024137,             0.00024137,             0.00024137
                     64,                0.79548,                0.45185,                  1.747,                0.99148,                0.99344,                 0.9948,                0.93047,                0.80756,                0.31435,                 1.7799,             0.00023519,             0.00023519,             0.00023519
                     65,                0.79401,                0.46803,                 1.7616,                0.98768,                0.99477,                0.99492,                0.92708,                0.79251,                 0.3143,                 1.7727,               0.000229,               0.000229,               0.000229
                     66,                0.79264,                  0.462,                 1.7448,                0.98756,                0.99774,                  0.995,                0.93434,                0.81111,                0.31334,                 1.7774,             0.00022281,             0.00022281,             0.00022281
                     67,                0.77956,                0.44636,                 1.7351,                0.98973,                0.99623,                  0.995,                0.93208,                0.81406,                0.29922,                 1.7854,             0.00021662,             0.00021662,             0.00021662
                     68,                0.75804,                0.42798,                  1.726,                0.99523,                0.99129,                  0.995,                0.93222,                0.78866,                0.30207,                 1.7729,             0.00021044,             0.00021044,             0.00021044
                     69,                0.75886,                0.44758,                 1.7295,                0.98389,                0.99587,                  0.995,                0.93519,                0.78994,                 0.3008,                   1.78,             0.00020425,             0.00020425,             0.00020425
                     70,                0.75459,                0.44682,                 1.7437,                0.99242,                0.98639,                  0.995,                0.93418,                0.77619,                0.30235,                 1.7618,             0.00019806,             0.00019806,             0.00019806
                     71,                0.75728,                0.43584,                 1.7341,                0.99311,                0.99084,                  0.995,                0.93714,                0.78138,                0.30339,                 1.7658,             0.00019188,             0.00019188,             0.00019188
                     72,                0.74291,                0.43547,                 1.7353,                0.97482,                0.99534,                0.99434,                0.92829,                0.78448,                0.31473,                 1.7737,             0.00018569,             0.00018569,             0.00018569
                     73,                0.71766,                0.41494,                 1.7145,                0.99123,                0.99257,                  0.995,                0.93649,                 0.7716,                0.29236,                 1.7682,              0.0001795,              0.0001795,              0.0001795
                     74,                0.71503,                0.41504,                 1.7193,                0.99009,                0.99677,                0.98989,                0.93113,                0.77174,                0.30094,                  1.772,             0.00017331,             0.00017331,             0.00017331
                     75,                0.72534,                  0.415,                 1.7169,                0.99423,                0.99077,                  0.995,                0.94392,                0.73228,                0.28183,                  1.753,             0.00016713,             0.00016713,             0.00016713
                     76,                0.72092,                0.40788,                 1.7122,                0.99334,                0.98986,                  0.995,                0.94316,                0.72937,                0.28167,                 1.7524,             0.00016094,             0.00016094,             0.00016094
                     77,                0.71633,                 0.4135,                 1.7058,                0.99483,                 0.9936,                0.99492,                0.94276,                0.74903,                0.28116,                 1.7568,             0.00015475,             0.00015475,             0.00015475
                     78,                 0.7004,                0.40948,                 1.7087,                0.99359,                 0.9965,                  0.995,                 0.9439,                0.74922,                0.27933,                 1.7588,             0.00014856,             0.00014856,             0.00014856
                     79,                0.67102,                 0.3981,                 1.6997,                0.99177,                0.98892,                  0.995,                 0.9476,                 0.7188,                0.27996,                 1.7471,             0.00014237,             0.00014237,             0.00014237
                     80,                0.68345,                0.41567,                  1.708,                0.99514,                0.98543,                  0.995,                0.94021,                0.74877,                0.28828,                 1.7583,             0.00013619,             0.00013619,             0.00013619
                     81,                0.68752,                 0.4067,                 1.6903,                 0.9921,                0.98761,                0.99473,                0.93721,                0.75089,                 0.2893,                  1.766,                0.00013,                0.00013,                0.00013
                     82,                0.67305,                 0.3931,                 1.6854,                0.99407,                0.99584,                  0.995,                0.93889,                0.74694,                0.27847,                 1.7526,             0.00012381,             0.00012381,             0.00012381
                     83,                 0.6695,                0.39997,                 1.6832,                  0.993,                0.99023,                0.99492,                0.94731,                0.71054,                0.27474,                 1.7339,             0.00011763,             0.00011763,             0.00011763
                     84,                0.65532,                0.39596,                 1.7011,                0.99291,                0.99898,                  0.995,                0.94555,                0.69404,                0.26111,                 1.7339,             0.00011144,             0.00011144,             0.00011144
                     85,                0.65872,                0.39979,                 1.6925,                0.99393,                0.99537,                  0.995,                 0.9458,                0.69915,                 0.2643,                 1.7334,             0.00010525,             0.00010525,             0.00010525
                     86,                0.65316,                0.39121,                 1.6889,                0.99168,                 0.9954,                  0.995,                0.94435,                0.70395,                0.26968,                  1.732,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.63971,                0.38085,                 1.6831,                0.99473,                0.99309,                  0.995,                0.94864,                0.69065,                0.26254,                 1.7338,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.64515,                0.37663,                 1.6919,                0.99624,                0.99783,                  0.995,                0.94744,                0.69594,                0.25668,                 1.7365,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.62975,                0.36927,                 1.6753,                0.99026,                0.99545,                  0.995,                0.94467,                0.70141,                0.26948,                  1.729,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.63769,                0.37927,                 1.6845,                0.99309,                0.99484,                  0.995,                0.94474,                0.68878,                0.27967,                  1.725,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.56716,                0.30748,                  1.671,                0.99573,                0.99384,                  0.995,                0.94651,                0.68028,                0.26031,                 1.7222,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.54445,                0.29544,                 1.6565,                0.98782,                0.99672,                  0.995,                0.94928,                0.68172,                0.25871,                 1.7241,             6.1937e-05,             6.1937e-05,             6.1937e-05
