                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4993,                 0.8795,                 1.9421,                0.89743,                0.85353,                0.90521,                0.72795,                  1.656,                 1.0251,                 2.1717,             0.00037435,             0.00037435,             0.00037435
                     35,                 1.4595,                0.86088,                 1.9338,                0.90338,                0.85806,                0.91097,                0.73156,                 1.7014,                0.98755,                  2.181,             0.00036885,             0.00036885,             0.00036885
                     36,                 1.4824,                0.85896,                 1.9354,                0.88495,                0.87107,                0.92162,                0.73606,                 1.6942,                0.95261,                 2.1903,             0.00036335,             0.00036335,             0.00036335
                     37,                 1.5456,                0.88731,                 1.9464,                 0.8917,                0.86233,                0.92175,                0.73568,                 1.6665,                0.94323,                 2.1937,             0.00035784,             0.00035784,             0.00035784
                     38,                 1.4618,                0.83406,                 1.9306,                0.90156,                0.87493,                 0.9232,                0.73737,                  1.659,                0.95859,                 2.1933,             0.00035234,             0.00035234,             0.00035234
                     39,                 1.4325,                0.82111,                 1.9326,                0.91609,                0.83689,                0.91566,                0.73541,                 1.6511,                0.96425,                 2.1728,             0.00034683,             0.00034683,             0.00034683
                     40,                 1.4534,                 0.8101,                 1.9345,                0.92171,                0.82899,                0.90635,                 0.7291,                 1.6402,                0.96355,                 2.2055,             0.00034133,             0.00034133,             0.00034133
                     41,                 1.4365,                 0.7752,                 1.9176,                0.90128,                0.88509,                0.92301,                0.73908,                 1.6529,                0.91749,                 2.1737,             0.00033582,             0.00033582,             0.00033582
                     42,                 1.4495,                0.78765,                 1.9168,                0.90103,                0.85695,                0.91248,                0.73025,                 1.6938,                0.98173,                 2.2441,             0.00033032,             0.00033032,             0.00033032
                     43,                 1.3973,                0.81438,                 1.9504,                0.91615,                0.86623,                0.92677,                 0.7347,                 1.7015,                0.97058,                 2.2133,             0.00032482,             0.00032482,             0.00032482
                     44,                 1.4656,                0.81011,                 1.9127,                0.89863,                0.89306,                0.92381,                0.74186,                 1.7078,                0.95062,                 2.1621,             0.00031931,             0.00031931,             0.00031931
                     45,                 1.4624,                0.81816,                  1.899,                0.91418,                0.86409,                0.92515,                 0.7379,                  1.653,                0.94335,                 2.1685,             0.00031381,             0.00031381,             0.00031381
                     46,                 1.4198,                0.81787,                 1.9139,                0.90319,                0.87142,                0.91572,                0.73462,                 1.6507,                0.96426,                 2.2039,              0.0003083,              0.0003083,              0.0003083
                     47,                 1.3977,                0.77547,                 1.9145,                0.93181,                0.86941,                0.93166,                0.74515,                 1.6621,                0.93801,                 2.2308,              0.0003028,              0.0003028,              0.0003028
                     48,                 1.4091,                0.81497,                 1.9298,                0.91282,                0.88236,                0.93107,                0.75394,                 1.6774,                0.92633,                 2.2017,             0.00029729,             0.00029729,             0.00029729
                     49,                 1.4018,                0.80344,                 1.9177,                0.91715,                0.86326,                0.92717,                0.74158,                 1.6876,                0.95027,                 2.2259,             0.00029179,             0.00029179,             0.00029179
                     50,                  1.358,                0.76356,                 1.9203,                0.91386,                0.86746,                0.92081,                0.74108,                  1.654,                0.93926,                 2.2065,             0.00028628,             0.00028628,             0.00028628
                     51,                 1.3614,                0.74804,                 1.8898,                0.91593,                 0.8738,                0.92326,                0.73543,                 1.6601,                0.95052,                 2.2061,             0.00028078,             0.00028078,             0.00028078
                     52,                 1.3427,                0.71833,                 1.8875,                0.91234,                0.87952,                0.92579,                0.74319,                 1.6324,                0.93565,                 2.1966,             0.00027528,             0.00027528,             0.00027528
                     53,                 1.3368,                0.69764,                 1.9017,                0.90719,                0.88879,                0.93052,                0.75303,                 1.6398,                 0.9185,                 2.1643,             0.00026977,             0.00026977,             0.00026977
                     54,                  1.323,                0.69237,                 1.8779,                0.90134,                0.88374,                0.92888,                0.75022,                 1.6334,                0.93969,                 2.1397,             0.00026427,             0.00026427,             0.00026427
                     55,                 1.3551,                0.73484,                 1.8849,                0.90679,                0.88299,                0.93268,                0.75291,                 1.6809,                 0.9338,                 2.1909,             0.00025876,             0.00025876,             0.00025876
                     56,                 1.3483,                0.71053,                 1.8713,                 0.9316,                 0.8599,                0.92576,                0.74258,                 1.6802,                0.94489,                 2.1596,             0.00025326,             0.00025326,             0.00025326
                     57,                 1.3116,                 0.6947,                 1.8642,                0.90521,                0.86753,                 0.9199,                0.74074,                 1.6732,                0.96475,                 2.1742,             0.00024775,             0.00024775,             0.00024775
