                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3184,                 6.9626,                 2.4057,                0.37628,                0.35198,                0.19514,                0.15213,                 2.0994,                  4.699,                 2.2342,             0.00011046,             0.00011046,             0.00011046
                      2,                 2.0025,                 3.8581,                 2.1634,                0.61065,                0.55441,                0.53872,                0.41875,                 1.9579,                 2.9483,                  2.095,             0.00022394,             0.00022394,             0.00022394
                      3,                 1.9151,                 2.6194,                 2.0438,                0.66245,                0.58659,                0.61235,                0.47532,                  1.906,                 2.4684,                 2.0636,             0.00033513,             0.00033513,             0.00033513
                      4,                 1.8759,                 2.1187,                 2.0655,                0.75724,                0.64982,                0.71386,                0.55382,                  1.939,                 2.1135,                 2.0829,             0.00044403,             0.00044403,             0.00044403
                      5,                 1.7975,                 1.8564,                 1.9976,                0.70938,                0.68043,                0.73738,                0.56684,                 1.8797,                 1.6982,                 2.0493,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.8776,                  1.656,                 2.0434,                0.75706,                0.70168,                0.75447,                0.58356,                  1.938,                 2.2324,                 2.0347,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.8051,                 1.6845,                 1.9914,                 0.7469,                  0.734,                  0.767,                0.59642,                 1.9334,                 1.7153,                 2.0547,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.7398,                 1.5637,                 1.9487,                 0.7693,                0.77213,                 0.7983,                0.61402,                 1.8881,                 1.5429,                 2.0572,             0.00048955,             0.00048955,             0.00048955
                      9,                 1.6635,                 1.4658,                 1.9915,                0.78497,                0.76268,                0.80138,                0.62864,                 1.8391,                 1.5465,                 2.0255,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.6968,                 1.4425,                 1.9955,                0.80627,                0.72912,                0.79826,                0.62587,                 1.8484,                 1.5832,                 2.0253,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.7119,                 1.2866,                 1.9636,                0.79298,                0.80285,                0.82644,                  0.645,                 1.8472,                 1.4089,                 2.0353,             0.00047393,             0.00047393,             0.00047393
                     12,                  1.636,                 1.2334,                 1.9658,                 0.8453,                0.79018,                 0.8361,                0.65832,                   1.84,                 1.4507,                 1.9945,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.6487,                 1.2433,                 1.9496,                0.80408,                0.78814,                0.82837,                0.64946,                 1.8808,                 1.4769,                 2.0054,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.5765,                 1.1993,                 1.9654,                0.83245,                0.80449,                0.84725,                0.66828,                 1.8164,                 1.2849,                 2.0096,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.5835,                 1.1539,                 1.9379,                0.83776,                0.80022,                0.84437,                0.66427,                  1.831,                 1.3349,                 2.0355,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.5996,                 1.0897,                 1.9276,                0.82965,                0.79803,                0.84664,                0.65659,                  1.863,                 1.2938,                 2.0059,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.6344,                 1.1544,                  1.957,                 0.8298,                0.81727,                  0.843,                0.66842,                 1.8246,                 1.4676,                 1.9758,             0.00044268,             0.00044268,             0.00044268
                     18,                  1.587,                 1.0942,                 1.9607,                0.82503,                0.82696,                 0.8706,                 0.6811,                 1.8905,                 1.3232,                 1.9887,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.5688,                 1.0938,                 1.9207,                0.86123,                0.82786,                0.86591,                0.67985,                 1.8279,                 1.2664,                 1.9984,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.5776,                 1.0732,                 1.9387,                0.86863,                0.82255,                 0.8737,                0.68747,                 1.8179,                 1.1815,                 1.9928,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.5317,                  1.068,                  1.915,                0.85791,                0.87359,                0.88895,                0.69191,                 1.8346,                 1.1941,                 2.0122,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.5713,                 1.0479,                 1.9198,                0.85274,                0.83078,                0.86588,                0.67389,                  1.796,                 1.3055,                  1.985,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.5001,                0.96188,                 1.9279,                0.87982,                0.82999,                0.88272,                0.69062,                 1.8074,                 1.1819,                 1.9918,             0.00041144,             0.00041144,             0.00041144
                     24,                  1.482,                0.89684,                 1.9188,                0.88285,                0.80381,                0.86898,                  0.683,                 1.8085,                 1.2931,                 1.9944,             0.00040623,             0.00040623,             0.00040623
                     25,                  1.526,                 1.0128,                 1.8932,                0.87893,                0.83623,                0.87129,                0.67986,                 1.8409,                 1.2158,                 1.9836,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.5299,                 0.9552,                 1.8652,                0.85057,                0.84127,                0.87768,                 0.6805,                 1.8322,                  1.212,                 2.0067,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.4706,                 1.0058,                 1.8847,                0.86075,                0.85139,                0.87392,                0.69501,                 1.8101,                 1.2667,                 1.9796,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.5203,                0.96861,                 1.8813,                 0.8464,                0.83032,                0.87669,                0.68737,                 1.8369,                 1.2084,                 2.0042,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.5006,                0.94675,                 1.8858,                0.85349,                0.83735,                 0.8833,                0.70253,                 1.7627,                 1.1562,                 1.9763,             0.00038019,             0.00038019,             0.00038019
